"SK_SNAPSHOT_DATE","REGION_KEY","MAKE_MODEL_DESCRIPTION","VARIANT","DERIVATIVE","FUEL_TYPE","TRANSMISSION_TYPE","BODY_TYPE","NUMBER_OF_DOORS","ENGINE_CC_SIZE","VEHICLE_SECTOR","YEAR_OF_REGISTRATION","MILEAGE","VEHICLE_PRICE"
"20100101","SC","ALFA ROMEO 145","HATCHBACK (1997 - 2001)","1.6 T.Spark 16v 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","1999","69000","1295"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.9 JTD Lusso 3dr","Diesel","Manual","Hatchback","3","1910","Lower Medium Cars","2003","61368","4950"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.9 JTD 16v Turismo 3dr","Diesel","Manual","Hatchback","3","1910","Lower Medium Cars","2003","63000","4495"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2003","48500","3995"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2005","56400","4895"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2005","56000","5495"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2003","41000","3995"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2005","48000","4995"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2005","23000","5995"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2005","5703","6695"
"20100101","SC","ALFA ROMEO 147","HATCHBACK (2001 - 2005)","1.6 T.Spark Lusso 3dr","Petrol","Manual","Hatchback","3","1598","Lower Medium Cars","2002","41000","2990"
